Course Code,Course Title,Broad Subject,Setting,Credentials Authorizing Course,Notes
1000,Self-Contained Class,Self-Contained,General Education,Full Authorization:Multiple Subject,
7000,Exploratory Career Technical Education,Elective,Career Technical Education,Full Authorization:CTE credential in any of the currently-issued industry sectorsSingle Subject*: Agriculture; Business; Home Economics; Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7001,Exploratory Family and Consumer Sciences (Grades 6-8),"Education, Child Development, and Family Services",Career Technical Education,"Full Authorization:CTE: Education, Child Development, and Family ServicesSingle Subject*: Home Economics",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7100,Introduction to Agriculture and Natural Resources,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7110,Introduction to Agricultural Business,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7111,Intermediate Agricultural Business (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7112,Advanced Agricultural Business (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7120,Introduction to Agricultural Mechanics,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7121,Intermediate Agricultural Mechanics (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7122,Advanced Agricultural Mechanics (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7130,Introduction to Agriscience,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7131,Intermediate Agriscience (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7132,Advanced Agriscience (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7133,Introduction to Sustainable Agriculture,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7134,Intermediate Sustainable Agriculture (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7135,Advanced Sustainable Agriculture (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7140,Introduction to Animal Science,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7141,Intermediate Animal Science (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7142,Advanced Animal Science (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7150,Introduction to Forestry and Natural Resources,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7151,Intermediate Forestry and Natural Resources (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7152,Advanced Forestry and Natural Resources (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7160,Introduction to Ornamental Horticulture,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7161,Intermediate Ornamental Horticulture (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7162,Advanced Ornamental Horticulture (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7163,Introduction to Floral Design,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7164,Intermediate Floral Design (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7165,Advanced Floral Design (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7170,Introduction to Plant Science,Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7171,Intermediate Plant Science (Concentrator),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7172,Advanced Plant Science (Capstone),Agriculture and Natural Resources,Career Technical Education,Full Authorization:CTE: Agriculture and Natural ResourcesSingle Subject*: Agriculture,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7200,"Introduction to Arts, Media, and Entertainment","Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7210,Introduction to Design,"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7211,Intermediate Design (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7212,Advanced Design (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7214,Intermediate Animation (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7215,Advanced Animation (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7217,Intermediate Studio Arts (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7218,Advanced Studio Arts (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7219,Introduction to Media Arts and Production,"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7220,Intermediate Digital Communications (Media Arts) (Concentrator),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7221,Advanced Digital Communications (Media Arts) (Capstone),"Arts, Media, and Entertainment",Career Technical Education,"Full Authorization:CTE: Arts, Media, and EntertainmentSingle Subject*: Industrial and Technology Education",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
