Credential Code,Description,Authorization Code,Authorization Text,Other Info
MIAA,Mathematics Instructional Added Authorization,MIA1,"This document authorizes the holder to: (1) teach mathematics in grades twelve and below, including preschool and classes organized primarily for adults, in mathematics content typically included in curriculum guidelines and textbooks up to and including pre-Algebra; and (2) develop and coordinate mathematics curriculum; coach mathematics teachers; design and implement intensive mathematics interventions; teach teachers to effectively intervene, accommodate, and differentiate their mathematics instruction to increase student engagement and proficiency in mathematics; and develop programs and deliver staff development for mathematics education programs at the school site level.",N/A
MIAA,Mathematics Instructional Added Authorization,MIA2,"This document authorizes the holder to: (1) teach mathematics in grades twelve and below, including preschool and classes organized primarily for adults, in mathematics content typically included in curriculum guidelines and textbooks up to and including Algebra I; and (2) develop and coordinate mathematics curriculum; coach mathematics teachers; design and implement intensive mathematics interventions; teach teachers to effectively intervene, accommodate, and differentiate their mathematics instruction to increase student engagement and proficiency in mathematics; and develop programs and deliver staff development for mathematics education programs at the school site level.",N/A
GS20,GENERAL SERVICES CREDENTIAL,CAS Code,"(Designed for credentials issued originally before 1964, which do not authorize any of the specific services outlined above. On rare occasions the Commission receives requests for duplicates of these documents and they must be specially prepared.)",CAS Document
GT7,GENERAL TEACHING CREDENTIAL,CAS Code,"(Designed for credentials issued originally before 1964, which do not authorize any of the specific teaching areas outlined above. On rare occasions the Commission receives requests for duplicates of these documents and they must be specially prepared.)",CAS Document
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,204 / khcq,"To teach the business subjects named hereon, including the evaluation of pupil occupational performance and the relating of such performance to classroom instruction. k. for not more than one-half of a full-time teaching assignment. h. in grades thirteen and fourteen. c. in classes organized primarily for adults. q. including, but not limited to, classes reimbursed from vocational education funds.",N/A
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,204 / qjd,"To teach the business subjects named hereon, including the evaluation of pupil occupational performance and the relating of such performance to classroom instruction. q. including, but not limited to, classes reimbursed from vocational education funds. j. in grades seven through twelve. d. in classes organized primarily for adults in elementary and high school adult programs.",N/A
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,204 / qkd,"To teach the business subjects named hereon, including the evaluation of pupil occupational performance and the relating of such performance to classroom instruction. q. including, but not limited to, classes reimbursed from vocational education funds. k. for not more than one-half of a full-time teaching assignment. d. in classes organized primarily for adults in elementary and high school adult programs.",N/A
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,204 / qic,"To teach the business subjects named hereon, including the evaluation of pupil occupational performance and the relating of such performance to classroom instruction. q. including, but not limited to, classes reimbursed from vocational education funds. i. in secondary schools c. in classes organized primarily for adults.",SDT Document 1973 to 1990
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,BEL / BEP,To teach or otherwise render professional services in California public schools as follows: teach the business subject(s) shown hereon including the evaluation of pupil occupational performances and the relating of such performance to classroom instruction in secondary schools and in classes for adults.,1964 to 1969
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,BPL / BPP,To teach or otherwise render professional services in California public schools as follows: teach the business subject(s) shown hereon including the evaluation of pupil occupational performances and the relating of such performance to classroom instruction part-time or the maximum of half-time of full-time assignment in a junior college and in classes for adults.,N/A
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL,DSL / DSP,To teach in California public schools as follows: teach the subject(s) shown hereon in the grades designated.,N/A
SDTG,STANDARD DESIGNATED SUBJECTS INDUSTRIAL ARTS AND OCCUPATIONAL ED. TEACHING CREDENTIAL,VIL / VIP,"To teach or otherwise render professional services in California public schools as follows: teach the subject(s) shown hereon in industrial arts and vocational trade or technical classes including, but not limited to, courses reimbursed from vocational education funds in grades nine through twelve.",1964 to 1969
SDTG,STANDARD DESIGNATED SUBJECTS INDUSTRIAL ARTS AND OCCUPATIONAL ED. TEACHING CREDENTIAL,VOL / VOP,"To teach or otherwise render professional services in California public schools as follows: teach the subject(s) shown hereon in industrial arts and occupational classes including, but not limited to, courses reimbursed from vocational education funds in grades nine through twelve.",N/A
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,203 / qkhc,"To teach the subject named hereon. q. including, but not limited to, classes reimbursed from vocational education funds. k. for not more than one-half of a full-time teaching assignment. h. in grades thirteen and fourteen. c. in classes organized primarily for adults.",N/A
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,203 / qkjd,"To teach the subject named hereon. q. including, but not limited to, classes reimbursed from vocational educational funds. k. for not more than one-half of a full-time teaching assignment. j. in grades seven through twelve. d. in classes organized primarily for adults in elementary and high school adult programs.",N/A
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,203 / qnc,"To teach the subject named hereon. q. including, but not limited to, classes reimbursed from vocational education funds. n. in grades nine through fourteen. c. in classes organized primarily for adults.",SDT Document 1973 to 1990
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,203 / qod,"To teach the subject named hereon. q. including, but not limited to, classes reimbursed from vocational education funds. o. in grades nine through twelve. d. in classes organized primarily for adults in elementary and high school adult programs.",N/A
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,VPL / VPP,"To teach or otherwise render professional services in California public schools as follows: teach the vocational trade and technical subject(s) shown hereon part-time or the maximum of half-time of a full-time teaching assignment in grades thirteen and fourteen inclusive, and in classes for adults.",N/A
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL,VTL / VTP,"To teach or otherwise render professional services in California public schools as follows: teach the vocational trade and technical subject(s) shown hereon in grades nine to fourteen inclusive, and in classes for adults.",1964 to 1969
SSCA,STANDARD PUPIL PERSONNEL SERVICES CREDENTIAL,PSL / PSP,To serve or otherwise render professional services in California public schools as follows: serve in the area of pupil personnel service(s) as shown hereon.,1964 to 1969
SSCB,STANDARD HEALTH SERVICES CREDENTIAL,HSL / HSP,"To serve or otherwise render professional services in California public schools as follows: serve in the capacity authorized by the license, certificate, or registration as assigned by the governing board of a school district or a county board of education in the health capacity shown hereon.",1964 to 1969
SSCC,STANDARD SUPERVISION CREDENTIAL,SUL / SUP,"To serve or otherwise render professional services in California public schools as follows: serve as a supervisor, consultant,coordinator, or in an equivalent supervisory or intermediate administrative position at the grade level and field shown hereon.",1964 to 1969
SSCD,STANDARD ADMINISTRATION CREDENTIAL,ADL / ADP,"To serve or otherwise render professional services in California public schools as follows: serve as a superintendent, associate superintendent, deputy superintendent, assistant superintendent, principal, supervisor, consultant, coordinator, or in an equivalent or intermediate level administrative position.",1964 to 1969
ST35,SPECIAL SECONDARY TEACHING CREDENTIAL,CAS Code,"(Designed for credentials issued originally before 1964, which do not authorize any of the specific teaching areas outlined above. On rare occasions the Commission receives requests for duplicates of these documents and they must be specially prepared.)",CAS Document
STCB,STANDARD SECONDARY TEACHING CREDENTIAL,SCL / SCP,"This credential, earned by meeting the provisions established by law and the requirements established by the State Board of Education, authorizes the holder to teach or otherwise render professional services in California public schools as follows: teach the subject(s) shown hereon as majors and minors in grades seven through twelve; teach any course in classes organized primarily for adults; teach classes in the field of special education if shown hereon as a minor; and serve as a librarian, if librarianship is shown hereon as a minor, in kindergarten and grades one through fourteen.",1964 to 1969
TC4E,DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL: PART-TIME,R-4 & R-7,To teach in such subject or trade at such grade level approved by the Commission and designated on the face of this credential. To teach for not more than one-half of a full-time teaching assignment.,TC Document 1975 to 1990
TC4G,DESIGNATED SUBJECTS VOCATIONAL EDUCATION TEACHING CREDENTIAL: PART-TIME,R-4 & R-7,To teach in such subject or trade at such grade level approved by the Commission and designated on the face of this credential. To teach for not more than one-half of a full-time teaching assignment.,TC Document 1975 to 1990
TC8,SOJOURN CERTIFICATED EMPLOYEE TEACHING CREDENTIAL,R1F,"This document authorizes the holder to teach the content areas in general mathematics, algebra, geometry, probability and statistics, and consumer mathematics in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1S,"This document authorizes the holder to teach the subject area(s) listed in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1GS,"This document authorizes the holder to teach introductory and general science, introductory life science, and introductory physical science in grades twelve and below, including preschool, and in classes organized primarily for adults; and integrated science in grades preschool, and kindergarten through grade eight.",N/A
VFP,Visiting Faculty Permit,R1P,"This document authorizes the holder to teach in the specific science area listed on the document in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1H,"This document authorizes the holder to teach in the specific science area listed on the document in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1G,"This document authorizes the holder to teach in the specific science area listed on the document in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1F,"This document authorizes the holder to teach the content areas in general mathematics, algebra, geometry, probability and statistics, and consumer mathematics in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFP,Visiting Faculty Permit,R1E,"This document authorizes the holder to teach in the specific science area listed on the document in grades twelve and below, including preschool, and in classes organized primarily for adults.",N/A
VFC,Preliminary Single Subject Teaching Credential-Based on VFP,NONE,N/A,N/A
SC2A,LIBRARY MEDIA TEACHER SERVICES CREDENTIAL,R53A,"This credential authorizes the holder to instruct pupils in the choice and use of library materials; to plan and coordinate school library programs with the instructional programs of a school district; to select materials for school and district libraries; to coordinate or supervise library programs at the school, district or county level; to plan and conduct a course of instruction for those pupils who assist in the operation of school libraries; to supervise classified personnel assigned school library duties; and to develop procedures for and management of the school and district libraries.",N/A
SC2A,LIBRARY MEDIA TEACHER SERVICES CREDENTIAL,R53,"This document authorizes the holder to perform the following services in grades twelve and below, including preschool, and in classes organized primarily for adults: assist and instruct pupils in the choice and use of library materials; plan school library programs and coordinate them with the instructional programs of the school district; select materials for school and district libraries; conduct a planned course of instruction for those pupils who assist in the operation of school libraries; supervise classified personnel assigned school library duties; and develop procedures for the management of the school and district libraries.",N/A
