Credential Code,Credential Name
AETC,Designated Subjects Adult Education Teaching Credential
AIL,American Indian Languages Credential
BIPT,Business and Industry Partnership Teacher
C8,EDUCATOR AUTHORIZATION
CTE,Designated Subjects Career Technical Education Credential
GS1,General Child Welfare and Supervision of Attendance Credential
GS10,GENERAL ADMINISTRATION CREDENTIAL
GS13,GENERAL SECONDARY ADMINISTRATION CREDENTIAL: TRADE & INDUSTRIAL EDUCATION
GS14,GENERAL SUPERVISION OF SCHOOL BUDGETS CREDENTIAL
GS15,GENERAL SUPERVISION CREDENTIAL
GS16,GENERAL SCHOOL PSYCHOMETRIST CREDENTIAL
GS17,GENERAL SCHOOL PSYCHOLOGIST CREDENTIAL
GS18,THE SUPERVISION CREDENTIAL
GS19,GENERAL PUPIL PERSONNEL SERVICES CREDENTIAL
GS2,GENERAL HEALTH AND DEVELOPMENT SERVICES CREDENTIAL
GS20,GENERAL SERVICES CREDENTIAL
GS25,GENERAL SCHOOL PRINCIPAL OR SUPERVISOR CREDENTIAL
GS3,GENERAL LIBRARIANSHIP CREDENTIAL
GS5,GENERAL ELEMENTARY SCHOOL ADMINISTRATION CREDENTIAL
GS6,GENERAL ELEMENTARY SCHOOL SUPERVISION CREDENTIAL
GS7,GENERAL SECONDARY SCHOOL ADMINISTRATION CREDENTIAL
GS8,GENERAL SECONDARY SCHOOL SUPERVISION CREDENTIAL
GS9,GENERAL SPECIAL SUBJECT SUPERVISION CREDENTIAL
GT1,GENERAL KINDERGARTEN-PRIMARY TEACHING CREDENTIAL
GT2,GENERAL ELEMENTARY TEACHING CREDENTIAL
GT3,GENERAL JUNIOR HIGH TEACHING CREDENTIAL
GT4,GENERAL JUNIOR COLLEGE TEACHING CREDENTIAL
GT5,GENERAL SECONDARY TEACHING CREDENTIAL
GT7,GENERAL TEACHING CREDENTIAL
MIAA,Mathematics Instructional Added Authorization
MILS,Mathematics Instructional Leadership Specialist
P10I,"CHILDREN'S CENTER INSTRUCTION PERMIT (Originally issued under regulations that became effective on January 30, 1986. Currently available as a renewal only.)"
P10S,"CHILDREN'S CENTER SUPERVISION PERMIT (Originally issued under regulations that became effective on January 30, 1986. Currently available as a renewal only.)"
P12A,"CHILD DEVELOPMENT ASSISTANT PERMIT (Regulations effective February 1, 1997.)"
P12B,"CHILD DEVELOPMENT ASSOCIATE PERMIT (Regulations effective February 1, 1997.)"
P12C,"CHILD DEVELOPMENT TEACHER PERMIT (Regulations effective February 1, 1997.)"
P12D,"CHILD DEVELOPMENT MASTER TEACHER PERMIT (Regulations effective February 1, 1997.)"
P12E,"CHILD DEVELOPMENT SITE SUPERVISOR PERMIT (Regulations effective February 1, 1997.)"
P12F,"CHILD DEVELOPMENT PROGRAM DIRECTOR PERMIT (Regulations effective February 1, 1997.)"
P1I,"CHILDREN'S CENTER INSTRUCTION PERMIT ( Originally issued under regulations that became effective on or before September 15, 1961. Currently available as a renewal only.)"
P1S,"CHILDREN'S CENTER SUPERVISION PERMIT (Originally issued under regulations that became effective on or before September 15, 1961. Currently available as a renewal only.)"
P2I,"CHILDREN'S CENTER INSTRUCTION PERMIT (Originally issued under regulations that became effective on October 15, 1966. Currently available as a renewal only.)"
P2S,"CHILDREN'S CENTER SUPERVISION PERMIT (Originally issued under regulations that became effective on October 15, 1966. Currently available as a renewal only.)"
P3I,"CHILD DEVELOPMENT PROGRAMS INSTRUCTION PERMIT (Originally issued under regulations that became effective on October 15, 1974. Currently available as a renewal only.)"
P3S,"CHILD DEVELOPMENT PROGRAMS SUPERVISION PERMIT (Originally issued under regulations that became effective on October 15, 1974. Currently available as a renewal only.)"
P4I,"CHILDREN'S CENTER INSTRUCTION PERMIT (Originally issued under regulations that became effective on January 1, 1979. Currently available as a renewal only.)"
P4S,"CHILDREN'S CENTER SUPERVISION PERMIT (Originally issued under regulations that became effective on January 1, 1979. Currently available as a renewal only.)"
P5,DEVELOPMENT CENTER PERMIT (Available until 1986 only. Not renewable)
P6,SPECIAL CENTER PERMIT (Replaced the Development Center Permit effective 2-17-86. Not renewable.)
PK3,PK-3 Early Childhood Education Specialist Instruction Credential
RLAA,Reading and Literacy Added Authorization
RLLS,Reading and Literacy Leadership Specialist
SA1,"RESOURCE SPECIALIST ADDED AUTHORIZATION (Regulations effective July 20, 2011)"
SA10,BILINGUAL CERTIFICATE OF ASSESSMENT COMPETENCE
SA12,"CROSSCULTURAL, LANGUAGE AND ACADEMIC DEVELOPMENT CERTIFICATE"
SA13,"CROSSCULTURAL, LANGUAGE AND ACADEMIC DEVELOPMENT PERMIT"
SA14,"BILINGUAL, CROSSCULTURAL, LANGUAGE AND ACADEMIC DEVELOPMENT CERTIFICATE"
SA15,"BILINGUAL, CROSSCULTURAL, LANGUAGE AND ACADEMIC DEVELOPMENT PERMIT"
SA16,READING CERTIFICATE
SA17,Certificate of Completion of Staff Development
SA1P,RESOURCE SPECIALIST PERMIT
SA2,EARLY CHILDHOOD SPECIAL EDUCATION CERTIFICATE
SA3,DESIGNATED SUBJECTS SUPERVISION & COORDINATION CREDENTIAL FOR VOCATIONAL EDUCATION
SA4,DESIGNATED SUBJECTS SUPERVISION AND COORDINATION CREDENTIAL
SA5,DESIGNATED SUBJECTS SUPERVISION & COORDINATION CREDENTIAL FOR NON-VOCATIONAL EDUCATION
SA6,BILINGUAL CERTIFICATE OF COMPETENCE
SA7,ADAPTED PHYSICAL EDUCATION CREDENTIAL
SA8,MILLER-UNRUH READING SPECIALIST CERTIFICATE
SA9,LANGUAGE DEVELOPMENT SPECIALIST CERTIFICATE
SC1A,ADMINISTRATIVE SERVICES CREDENTIAL
SC1B,ADMINISTRATIVE SERVICES CREDENTIAL (EXAMINATION)
SC2,LIBRARIANSHIP SERVICES CREDENTIAL (Title if issued prior to 1-1-89)
SC2A,LIBRARY MEDIA TEACHER SERVICES CREDENTIAL
SC2B,TEACHER LIBRARIAN SERVICES CREDENTIAL
SC2E,Emergency Teacher Librarian Services Permit
SC2P,EMERGENCY TEACHER LIBRARIAN SERVICES PERMIT
SC3,HEALTH SERVICES CREDENTIAL
SC3A,SCHOOL NURSE SERVICES CREDENTIAL
SC4,CLINICAL OR REHABILITATIVE SERVICES CREDENTIAL
SC4P,CLINICAL OR REHABILITATIVE SERVICES PERMIT
SC5,PUPIL PERSONNEL SERVICES
SC6,EMINENCE SERVICES CREDENTIAL
SC7,EXCHANGE CERTIFICATED EMPLOYEE SERVICES CREDENTIAL
SC8,Speech Language Pathology Services Credential
SDTA,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Basic Military Drill)
SDTB,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Reserve Officer Training Corps - ROTC)
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL
SDTD,STANDARD DESIGNATED SUBJECTS BUSINESS EDUCATION TEACHING CREDENTIAL
SDTE,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Public Safety Education)
SDTF,STANDARD DESIGNATED SUBJECTS MODERN FOREIGN LANGUAGE TEACHING CREDENTIAL (Obsolete credential: no renewals available; no CAS document issued)
SDTG,STANDARD DESIGNATED SUBJECTS INDUSTRIAL ARTS AND OCCUPATIONAL ED. TEACHING CREDENTIAL
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL
